Date comptabilisation,N° article,Désignation article,Quantité,Type écriture,Code magasin,Code groupe produits,Coût total (réel),Montant vente (réel),Nom Client,Année,Mois,Bénéfice
2015-01-06,250-30-0.4-YNYN0-CU-TN,"TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 250 KVA 30 KV  0,4 KV YNYN0",1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-08,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-08,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-08,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-08,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-08,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-08,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-09,50-17.32-0.242-0.42-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ DANS L'HUILE 50KVA 17320V 242-420V,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-20,1250-30-0.4-YNYN0-CU-TN,TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 1250KVA 30KV B2 YNYN0,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-20,1250-30-0.4-YNYN0-CU-TN,TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 1250KVA 30KV B2 YNYN0,1.0,Vente,PFT,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-22,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-22,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-22,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-23,100-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  100KVA 17321V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,250-30-0.42-YNYN0-CU-STEG,TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 250 KVA 30 KV 420V YNYN0,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-27,25-17.32-0.242-MONO-CU-TN,TRANSFORMATEUR MONOPHASÉ  25KVA 17320V 242V,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-28,25-30-0.4-YNYN0-CU-TN,"TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 25 KVA 30 KV  0,4 KV YNYN0",1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-28,630-30-0.4-YNYN0-CU-TN,"TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 630 KVA 30 KV  0,4 KV YNYN0",1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-29,63-30-0.4-YNYN0-CU-TN,"TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 63 KVA 30 KV  0,4 KV YNYN0",1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
2015-01-29,1250-30-0.4-YNYN0-CU-TN,TRANSFORMATEUR TRIPHASÉ DANS L'HUILE À 4 COLONNES 1250KVA 30KV B2 YNYN0,1.0,Vente,TAMPON,TRANS,0.0,0.0,,2015,2015-01-01,0.0
